Count of BoroName,Column Labels,,,,,
Row Labels,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Grand Total
ALTICEUSA,50.63%,49.37%,0.00%,0.00%,0.00%,100.00%
AT&T,11.11%,22.22%,48.15%,11.11%,7.41%,100.00%
BPL,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%
Chelsea,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
City Tech,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%
Downtown Brooklyn,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%
Harlem,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
LinkNYC - Citybridge,5.70%,16.67%,59.95%,15.84%,1.84%,100.00%
Manhattan Down Alliance,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
NYCHA,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%
NYPL,38.89%,0.00%,47.78%,0.00%,13.33%,100.00%
Partner,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
QPL,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%
SPECTRUM,0.00%,12.54%,28.28%,44.02%,15.16%,100.00%
Spot On Networks,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%
Transit Wireless,7.61%,28.62%,52.54%,11.23%,0.00%,100.00%
Grand Total,8.93%,23.42%,47.78%,16.72%,3.15%,100.00%
